crop_id,crop_name,waste_area_mu,discount_area_mu,change_area_mu,waste_production_jin,discount_production_jin,change_production_jin,waste_surplus_jin,discount_surplus_jin,change_surplus_jin,waste_profit_yuan,discount_profit_yuan,change_profit_yuan
29,黄瓜,6.3,436.4,430.1,91350.0,5284500.0,5193150.0,0.0,5193150.0,5193150.0,656355.0,17639420.0,16983065.0
38,榆黄菇,12.6,29.4,16.8,63000.0,147000.0,84000.0,0.0,84000.0,84000.0,3584700.0,5949300.0,2364600.0
17,豇豆,91.13,304.54,213.41,278250.0,919560.0,641310.0,22890.0,664200.0,641310.0,1857380.0,4086640.0,2229260.0
21,西红柿,102.625,0.0,-102.625,252870.0,0.0,-252870.0,0.0,0.0,0.0,1376971.0,0.0,-1376971.0
28,小青菜,77.35,0.0,-77.35,248360.0,0.0,-248360.0,0.0,0.0,0.0,1311744.0,0.0,-1311744.0
2,黑豆,319.112564,1197.266914,878.15435,152950.0,574942.69275,421992.69275,0.0,421992.69275,421992.69275,1019479.974062,2250690.832626,1231210.858564
36,白萝卜,175.0,391.0,216.0,700000.0,1564000.0,864000.0,0.0,864000.0,864000.0,1662500.0,2634500.0,972000.0
39,香菇,12.6,0.0,-12.6,50400.0,0.0,-50400.0,0.0,0.0,0.0,932400.0,0.0,-932400.0
1,黄豆,1023.220604,0.0,-1023.220604,395447.545455,0.0,-395447.545455,0.0,0.0,0.0,875916.281366,0.0,-875916.281366
11,荞麦,105.0,447.692142,342.692142,10500.0,45609.911185,35109.911185,0.0,35309.911185,35309.911185,383250.0,961505.973798,578255.973798
20,土豆,99.25,0.0,-99.25,198500.0,0.0,-198500.0,0.0,0.0,0.0,545875.0,0.0,-545875.0
16,水稻,181.0,0.0,-181.0,90500.0,0.0,-90500.0,0.0,0.0,0.0,510420.0,0.0,-510420.0
18,刀豆,169.01,46.36,-122.65,340660.0,95120.0,-245540.0,152500.0,0.0,-152500.0,1099750.0,594500.0,-505250.0
22,茄子,47.4,31.8,-15.6,317520.0,233760.0,-83760.0,1600.0,4800.0,3200.0,1654928.0,1214784.0,-440144.0
41,羊肚菌,29.4,25.2,-4.2,29400.0,25200.0,-4200.0,0.0,0.0,0.0,2646000.0,2268000.0,-378000.0
37,红萝卜,84.0,162.0,78.0,252000.0,486000.0,234000.0,0.0,234000.0,234000.0,777000.0,1118250.0,341250.0
32,空心菜,2.1,13.8,11.7,25200.0,162900.0,137700.0,0.0,137700.0,137700.0,102900.0,366240.0,263340.0
7,玉米,853.721292,927.907177,74.185885,851686.363636,927050.0,75363.636364,0.0,2250.0,2250.0,2128198.444976,2313821.411483,185622.966507
15,大麦,120.894739,0.0,-120.894739,57425.0,0.0,-57425.0,0.0,0.0,0.0,158674.342104,0.0,-158674.342104
