candidate,scenario_id,profit_yuan
lambda_025,0,41068854.149998
lambda_025,1,40963550.379562
lambda_025,2,41039330.288866
lambda_025,3,41089396.912171
lambda_025,4,40850745.544585
lambda_025,5,41145015.012119
lambda_025,6,40884910.478303
lambda_025,7,40595407.624798
lambda_025,8,41153982.950507
lambda_025,9,41090773.948664
lambda_025,10,40977041.958344
lambda_025,11,40932211.34
lambda_025,12,40695927.979089
lambda_025,13,41160808.989463
lambda_025,14,41035908.577696
lambda_025,15,40726636.967679
lambda_025,16,40648958.84689
lambda_025,17,40701199.414134
lambda_025,18,41416976.861718
lambda_025,19,40918258.020294
lambda_025,20,41047338.767836
lambda_025,21,41251154.91865
lambda_025,22,41153473.889949
lambda_025,23,40781389.855181
lambda_025,24,40745998.944758
lambda_025,25,40858618.102295
lambda_025,26,40959787.887678
lambda_025,27,41224359.842846
lambda_025,28,40784227.905994
lambda_025,29,40806269.09335
lambda_025,30,40715317.053667
lambda_025,31,40486397.174508
lambda_025,32,40788719.742502
lambda_025,33,40769484.475802
lambda_025,34,40936164.322244
lambda_025,35,41402298.276682
lambda_025,36,40706661.66491
lambda_025,37,40864183.426445
lambda_025,38,40933118.729336
lambda_025,39,40746074.755126
lambda_025,40,40744888.618398
lambda_025,41,40900563.658222
lambda_025,42,40691198.214611
lambda_025,43,41085269.476977
lambda_025,44,41073112.425906
lambda_025,45,40797240.173276
lambda_025,46,40951745.194428
lambda_025,47,40950813.459016
lambda_025,48,40977748.630371
lambda_025,49,40989808.600282
lambda_025,50,40865295.348928
lambda_025,51,41007647.854315
lambda_025,52,40907272.983866
lambda_025,53,40971413.697263
lambda_025,54,41056767.307151
lambda_025,55,40656538.341052
lambda_025,56,40763494.259946
lambda_025,57,40879724.520452
lambda_025,58,40536173.613663
lambda_025,59,40643029.703631
lambda_025,60,40876665.517539
lambda_025,61,41092317.865222
lambda_025,62,41082411.839871
lambda_025,63,41060383.152974
lambda_025,64,40947875.851356
lambda_025,65,40894589.490234
lambda_025,66,41137043.136176
lambda_025,67,40603832.979036
lambda_025,68,41017352.391027
lambda_025,69,40919530.322847
lambda_025,70,40645463.749185
lambda_025,71,41082089.373014
lambda_025,72,40653461.497388
lambda_025,73,41046663.834288
lambda_025,74,41037675.800384
lambda_025,75,40967925.246816
lambda_025,76,40616660.858363
lambda_025,77,40897590.157924
lambda_025,78,40866603.392866
lambda_025,79,41291498.854422
lambda_025,80,41156922.929752
lambda_025,81,41018700.723845
lambda_025,82,41268726.792781
lambda_025,83,41125834.46926
lambda_025,84,40935095.727998
lambda_025,85,40886761.925834
lambda_025,86,40781469.036379
lambda_025,87,41083201.778265
lambda_025,88,40788265.346242
lambda_025,89,40885111.157872
lambda_025,90,41138124.184927
lambda_025,91,40837407.110944
lambda_025,92,40738413.486357
lambda_025,93,40790128.902993
lambda_025,94,40895070.164386
lambda_025,95,40761932.573427
lambda_025,96,40919763.831567
lambda_025,97,40847213.277283
lambda_025,98,40887767.799023
lambda_025,99,40909663.606299
