scenario_set,check,value,expected_direction,note
q3_weak_optimization_100,within_group_demand_corr:grain_staple,0.159475,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:grain_other,0.094352,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:beans_grain,0.048475,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:beans_veg,0.03567,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:leafy,0.061164,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:solanum,0.063824,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:cabbage_root,0.140089,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,within_group_demand_corr:fungus,0.084645,positive,公共因子权重不是该经验相关系数
q3_weak_optimization_100,mean_yield_price_corr,-0.063369,negative,丰产压价机制
q3_weak_optimization_100,mean_cost_corr_first8,0.092292,positive,共同投入成本因子
q3_weak_optimization_100,wheat_corn_demand_corr,0.159475,positive,主要粮食替代组共同市场因子
q3_weak_test_2000,within_group_demand_corr:grain_staple,0.082407,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:grain_other,0.084263,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:beans_grain,0.090662,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:beans_veg,0.108306,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:leafy,0.080121,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:solanum,0.086447,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:cabbage_root,0.089686,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,within_group_demand_corr:fungus,0.08759,positive,公共因子权重不是该经验相关系数
q3_weak_test_2000,mean_yield_price_corr,-0.046752,negative,丰产压价机制
q3_weak_test_2000,mean_cost_corr_first8,0.088307,positive,共同投入成本因子
q3_weak_test_2000,wheat_corn_demand_corr,0.082407,positive,主要粮食替代组共同市场因子
q3_weak_elasticity_optimization_100,within_group_demand_corr:grain_staple,0.162333,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:grain_other,0.094352,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:beans_grain,0.07189,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:beans_veg,0.043152,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:leafy,0.075843,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:solanum,0.073786,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:cabbage_root,0.154361,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,within_group_demand_corr:fungus,0.097793,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_optimization_100,mean_yield_price_corr,-0.063369,negative,丰产压价机制
q3_weak_elasticity_optimization_100,mean_cost_corr_first8,0.092292,positive,共同投入成本因子
q3_weak_elasticity_optimization_100,wheat_corn_demand_corr,0.162333,positive,主要粮食替代组共同市场因子
q3_weak_elasticity_test_2000,within_group_demand_corr:grain_staple,0.08685,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:grain_other,0.084263,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:beans_grain,0.106221,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:beans_veg,0.113675,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:leafy,0.095802,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:solanum,0.095106,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:cabbage_root,0.102666,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,within_group_demand_corr:fungus,0.078094,positive,公共因子权重不是该经验相关系数
q3_weak_elasticity_test_2000,mean_yield_price_corr,-0.046752,negative,丰产压价机制
q3_weak_elasticity_test_2000,mean_cost_corr_first8,0.088307,positive,共同投入成本因子
q3_weak_elasticity_test_2000,wheat_corn_demand_corr,0.08685,positive,主要粮食替代组共同市场因子
q3_medium_optimization_100,within_group_demand_corr:grain_staple,0.361927,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:grain_other,0.332975,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:beans_grain,0.313927,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:beans_veg,0.369637,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:leafy,0.363092,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:solanum,0.329248,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:cabbage_root,0.358322,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,within_group_demand_corr:fungus,0.329081,positive,公共因子权重不是该经验相关系数
q3_medium_optimization_100,mean_yield_price_corr,-0.214053,negative,丰产压价机制
q3_medium_optimization_100,mean_cost_corr_first8,0.346419,positive,共同投入成本因子
q3_medium_optimization_100,wheat_corn_demand_corr,0.361927,positive,主要粮食替代组共同市场因子
q3_medium_test_2000,within_group_demand_corr:grain_staple,0.371002,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:grain_other,0.325927,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:beans_grain,0.331676,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:beans_veg,0.355079,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:leafy,0.346817,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:solanum,0.34923,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:cabbage_root,0.341085,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,within_group_demand_corr:fungus,0.359322,positive,公共因子权重不是该经验相关系数
q3_medium_test_2000,mean_yield_price_corr,-0.208393,negative,丰产压价机制
q3_medium_test_2000,mean_cost_corr_first8,0.362345,positive,共同投入成本因子
