scenario,year,season,crop_id,crop_name,area_mu,production_jin,normal_sales_jin,surplus_jin,revenue_yuan,cost_yuan,profit_yuan
baseline_waste,2024,single,1,黄豆,150.0,57000.0,57000.0,0.0,185250.0,60000.0,125250.0
baseline_waste,2024,single,2,黑豆,46.0,21850.0,21850.0,0.0,163875.0,18400.0,145475.0
baseline_waste,2024,single,3,红豆,58.947368,22400.0,22400.0,0.0,184800.0,20631.578947,164168.421053
baseline_waste,2024,single,4,绿豆,101.085104,33040.0,33040.0,0.0,231280.0,35379.786513,195900.213487
baseline_waste,2024,single,5,爬豆,25.882927,9875.0,9875.0,0.0,66656.25,9059.024317,57597.225683
baseline_waste,2024,single,6,小麦,213.55,170840.0,170840.0,0.0,597940.0,96097.5,501842.5
baseline_waste,2024,single,7,玉米,135.526316,132750.0,132750.0,0.0,398250.0,67763.157895,330486.842105
baseline_waste,2024,single,8,谷子,187.894737,71400.0,71400.0,0.0,481950.0,67642.105263,414307.894737
baseline_waste,2024,single,9,高粱,50.0,30000.0,30000.0,0.0,180000.0,20000.0,160000.0
baseline_waste,2024,single,10,黍子,25.0,12500.0,12500.0,0.0,93750.0,9000.0,84750.0
baseline_waste,2024,single,11,荞麦,14.931533,1500.0,1500.0,0.0,60000.0,5226.036655,54773.963345
baseline_waste,2024,single,12,南瓜,11.7,35100.0,35100.0,0.0,52650.0,11700.0,40950.0
baseline_waste,2024,single,13,红薯,16.363636,36000.0,36000.0,0.0,117000.0,32727.272727,84272.727273
baseline_waste,2024,single,14,莜麦,34.467045,14000.0,14000.0,0.0,77000.0,13786.818182,63213.181818
baseline_waste,2024,single,15,大麦,20.605614,10000.0,10000.0,0.0,35000.0,7211.965067,27788.034933
baseline_waste,2024,single,16,水稻,26.0,13000.0,13000.0,0.0,91000.0,17680.0,73320.0
baseline_waste,2024,first,17,豇豆,12.16,36480.0,36480.0,0.0,291840.0,24320.0,267520.0
baseline_waste,2024,first,18,刀豆,23.546357,47212.714688,26880.0,20332.714688,181440.0,23606.357344,157833.642656
baseline_waste,2024,first,19,芸豆,2.16,6480.0,6480.0,0.0,42120.0,4320.0,37800.0
baseline_waste,2024,first,20,土豆,15.0,30000.0,30000.0,0.0,112500.0,30000.0,82500.0
baseline_waste,2024,first,21,西红柿,12.725,35400.0,35400.0,0.0,221250.0,28690.0,192560.0
baseline_waste,2024,second,21,西红柿,0.3,810.0,810.0,0.0,6075.0,792.0,5283.0
