scenario,year,season,plot_id,land_type,crop_id,crop_name,area_mu
baseline_waste,2024,single,A1,平旱地,7,玉米,80.0
baseline_waste,2024,single,A2,平旱地,6,小麦,44.340909
baseline_waste,2024,single,A2,平旱地,14,莜麦,10.659091
baseline_waste,2024,single,A3,平旱地,4,绿豆,16.363636
baseline_waste,2024,single,A3,平旱地,6,小麦,18.636364
baseline_waste,2024,single,A4,平旱地,6,小麦,72.0
baseline_waste,2024,single,A5,平旱地,6,小麦,68.0
baseline_waste,2024,single,A6,平旱地,4,绿豆,16.363636
baseline_waste,2024,single,A6,平旱地,6,小麦,10.572727
baseline_waste,2024,single,A6,平旱地,12,南瓜,11.7
baseline_waste,2024,single,A6,平旱地,13,红薯,16.363636
baseline_waste,2024,single,B1,梯田,1,黄豆,27.344348
baseline_waste,2024,single,B1,梯田,5,爬豆,7.655652
baseline_waste,2024,single,B1,梯田,9,高粱,11.263158
baseline_waste,2024,single,B1,梯田,10,黍子,13.736842
baseline_waste,2024,single,B10,梯田,3,红豆,25.0
baseline_waste,2024,single,B11,梯田,8,谷子,60.0
baseline_waste,2024,single,B12,梯田,8,谷子,45.0
baseline_waste,2024,single,B13,梯田,5,爬豆,0.789474
baseline_waste,2024,single,B13,梯田,8,谷子,34.210526
baseline_waste,2024,single,B14,梯田,2,黑豆,6.550389
baseline_waste,2024,single,B14,梯田,4,绿豆,3.51584
baseline_waste,2024,single,B14,梯田,7,玉米,8.564437
baseline_waste,2024,single,B14,梯田,11,荞麦,1.369334
baseline_waste,2024,single,B2,梯田,8,谷子,46.0
baseline_waste,2024,single,B3,梯田,7,玉米,40.0
baseline_waste,2024,single,B4,梯田,7,玉米,4.192045
baseline_waste,2024,single,B4,梯田,14,莜麦,23.807955
baseline_waste,2024,single,B5,梯田,9,高粱,16.506675
baseline_waste,2024,single,B5,梯田,15,大麦,8.493325
baseline_waste,2024,single,B6,梯田,1,黄豆,23.655652
baseline_waste,2024,single,B6,梯田,2,黑豆,37.344348
baseline_waste,2024,single,B6,梯田,7,玉米,2.769833
baseline_waste,2024,single,B6,梯田,9,高粱,22.230167
baseline_waste,2024,single,B7,梯田,1,黄豆,55.0
baseline_waste,2024,single,B8,梯田,1,黄豆,44.0
baseline_waste,2024,single,B9,梯田,2,黑豆,2.105263
baseline_waste,2024,single,B9,梯田,3,红豆,33.947368
baseline_waste,2024,single,B9,梯田,8,谷子,2.684211
baseline_waste,2024,single,B9,梯田,10,黍子,11.263158
baseline_waste,2024,single,C1,山坡地,4,绿豆,15.0
baseline_waste,2024,single,C2,山坡地,11,荞麦,13.0
baseline_waste,2024,single,C3,山坡地,4,绿豆,2.841992
baseline_waste,2024,single,C3,山坡地,15,大麦,12.11229
baseline_waste,2024,single,C4,山坡地,5,爬豆,17.437801
baseline_waste,2024,single,C4,山坡地,11,荞麦,0.562199
baseline_waste,2024,single,C5,山坡地,4,绿豆,27.0
baseline_waste,2024,single,C6,山坡地,4,绿豆,20.0
baseline_waste,2024,first,D1,水浇地,17,豇豆,6.535
baseline_waste,2024,first,D1,水浇地,19,芸豆,1.206357
baseline_waste,2024,first,D1,水浇地,21,西红柿,3.603009
baseline_waste,2024,first,D1,水浇地,28,小青菜,3.655633
baseline_waste,2024,second,D1,水浇地,37,红萝卜,12.0
baseline_waste,2024,single,D2,水浇地,16,水稻,10.0
baseline_waste,2024,first,D3,水浇地,18,刀豆,2.2
baseline_waste,2024,first,D3,水浇地,20,土豆,5.116585
baseline_waste,2024,first,D3,水浇地,22,茄子,3.0
baseline_waste,2024,first,D3,水浇地,24,青椒,0.75
baseline_waste,2024,first,D3,水浇地,27,油麦菜,1.097561
baseline_waste,2024,first,D3,水浇地,30,生菜,0.365854
baseline_waste,2024,first,D3,水浇地,31,辣椒,0.75
baseline_waste,2024,first,D3,水浇地,32,空心菜,0.36
baseline_waste,2024,first,D3,水浇地,33,黄心菜,0.36
baseline_waste,2024,second,D3,水浇地,36,白萝卜,3.0
baseline_waste,2024,single,D4,水浇地,16,水稻,6.0
baseline_waste,2024,single,D5,水浇地,16,水稻,10.0
baseline_waste,2024,first,D6,水浇地,20,土豆,9.883415
baseline_waste,2024,first,D6,水浇地,21,西红柿,1.021991
