scenario,year,season,crop_id,crop_name,area_mu,production_jin,normal_sales_jin,surplus_jin,revenue_yuan,cost_yuan,profit_yuan
full_discount,2024,single,2,黑豆,83.240506,39539.240506,21850.0,17689.240506,230209.651899,33296.202532,196913.449367
full_discount,2024,single,3,红豆,71.767852,27271.783659,22400.0,4871.783659,204896.107595,25118.748107,179777.359488
full_discount,2024,single,4,绿豆,96.2,33040.0,33040.0,0.0,231280.0,33670.0,197610.0
full_discount,2024,single,5,爬豆,25.759494,9875.0,9875.0,0.0,66656.25,9015.822785,57640.427215
full_discount,2024,single,6,小麦,217.301435,170840.0,170840.0,0.0,597940.0,97785.645933,500154.354067
full_discount,2024,single,7,玉米,133.607177,132750.0,132750.0,0.0,398250.0,66803.588517,331446.411483
full_discount,2024,single,8,谷子,187.894737,71400.0,71400.0,0.0,481950.0,67642.105263,414307.894737
full_discount,2024,single,9,高粱,50.0,30000.0,30000.0,0.0,180000.0,20000.0,160000.0
full_discount,2024,single,10,黍子,28.165163,14082.581309,12500.0,1582.581309,99684.67991,10139.458543,89545.221368
full_discount,2024,single,11,荞麦,135.0,13800.0,1500.0,12300.0,306000.0,47250.0,258750.0
full_discount,2024,single,12,南瓜,11.7,35100.0,35100.0,0.0,52650.0,11700.0,40950.0
full_discount,2024,single,13,红薯,16.363636,36000.0,36000.0,0.0,117000.0,32727.272727,84272.727273
full_discount,2024,single,14,莜麦,35.0,14000.0,14000.0,0.0,77000.0,14000.0,63000.0
full_discount,2024,first,17,豇豆,16.7,51720.0,36480.0,15240.0,352800.0,34480.0,318320.0
full_discount,2024,first,19,芸豆,1.8,6480.0,6480.0,0.0,42120.0,4320.0,37800.0
full_discount,2024,first,22,茄子,4.2,33600.0,33600.0,0.0,184800.0,10080.0,174720.0
full_discount,2024,first,26,包菜,0.9,4050.0,4050.0,0.0,26325.0,3150.0,23175.0
full_discount,2024,first,27,油麦菜,0.6,3000.0,3000.0,0.0,15000.0,1200.0,13800.0
full_discount,2024,first,29,黄瓜,95.0,1140000.0,9000.0,1131000.0,4021500.0,275500.0,3746000.0
full_discount,2024,second,29,黄瓜,1.8,24300.0,4050.0,20250.0,119070.0,6930.0,112140.0
full_discount,2024,first,30,生菜,0.3,1500.0,1500.0,0.0,7875.0,600.0,7275.0
full_discount,2024,second,30,生菜,0.3,1350.0,1350.0,0.0,8505.0,660.0,7845.0
full_discount,2024,first,32,空心菜,1.2,14400.0,3600.0,10800.0,40500.0,6000.0,34500.0
full_discount,2024,first,33,黄心菜,0.3,1800.0,1800.0,0.0,8100.0,750.0,7350.0
full_discount,2024,second,34,芹菜,0.3,1800.0,1800.0,0.0,8640.0,360.0,8280.0
full_discount,2024,second,35,大白菜,30.0,150000.0,150000.0,0.0,375000.0,60000.0,315000.0
full_discount,2024,second,36,白萝卜,64.0,256000.0,100000.0,156000.0,445000.0,32000.0,413000.0
full_discount,2024,second,37,红萝卜,15.0,45000.0,36000.0,9000.0,131625.0,7500.0,124125.0
full_discount,2024,second,38,榆黄菇,4.2,21000.0,9000.0,12000.0,862500.0,12600.0,849900.0
full_discount,2024,second,40,白灵菇,1.8,18000.0,18000.0,0.0,288000.0,18000.0,270000.0
full_discount,2024,second,41,羊肚菌,3.6,3600.0,3600.0,0.0,360000.0,36000.0,324000.0
full_discount,2025,single,2,黑豆,256.032148,123285.270426,21850.0,101435.270426,544257.264097,102412.859306,441844.404791
full_discount,2025,single,3,红豆,65.0,24700.0,22400.0,2300.0,194287.5,22750.0,171537.5
full_discount,2025,single,4,绿豆,93.666667,32305.0,32305.0,0.0,226135.0,32783.333333,193351.666667
full_discount,2025,single,5,爬豆,26.333333,9875.0,9875.0,0.0,66656.25,9216.666667,57439.583333
full_discount,2025,single,6,小麦,221.534928,170840.0,170840.0,0.0,597940.0,99690.717703,498249.282297
full_discount,2025,single,7,玉米,128.3,128300.0,128300.0,0.0,384900.0,64150.0,320750.0
full_discount,2025,single,8,谷子,180.419287,68559.329114,68559.329114,0.0,462775.471519,64950.943371,397824.528148
full_discount,2025,single,9,高粱,51.334211,30000.0,30000.0,0.0,180000.0,20533.684211,159466.315789
full_discount,2025,single,10,黍子,26.315789,12500.0,12500.0,0.0,93750.0,9473.684211,84276.315789
full_discount,2025,single,11,荞麦,15.0,1500.0,1500.0,0.0,60000.0,5250.0,54750.0
full_discount,2025,single,12,南瓜,11.7,35100.0,35100.0,0.0,52650.0,11700.0,40950.0
full_discount,2025,single,13,红薯,16.363636,36000.0,36000.0,0.0,117000.0,32727.272727,84272.727273
full_discount,2025,first,17,豇豆,85.3,256080.0,36480.0,219600.0,1170240.0,170720.0,999520.0
full_discount,2025,first,18,刀豆,10.9,22160.0,22160.0,0.0,149580.0,11080.0,138500.0
full_discount,2025,first,19,芸豆,1.8,6480.0,6480.0,0.0,42120.0,4320.0,37800.0
full_discount,2025,first,22,茄子,3.9,31200.0,31200.0,0.0,171600.0,9360.0,162240.0
full_discount,2025,second,22,茄子,0.3,2160.0,2160.0,0.0,14256.0,792.0,13464.0
full_discount,2025,first,26,包菜,0.9,4050.0,4050.0,0.0,26325.0,3150.0,23175.0
full_discount,2025,first,27,油麦菜,0.3,1500.0,1500.0,0.0,7500.0,600.0,6900.0
full_discount,2025,first,29,黄瓜,17.6,222000.0,9000.0,213000.0,808500.0,53200.0,755300.0
full_discount,2025,second,29,黄瓜,0.6,8100.0,4050.0,4050.0,51030.0,2310.0,48720.0
full_discount,2025,second,30,生菜,0.3,1350.0,1350.0,0.0,8505.0,660.0,7845.0
full_discount,2025,first,32,空心菜,0.3,3600.0,3600.0,0.0,16200.0,1500.0,14700.0
full_discount,2025,second,32,空心菜,0.9,9900.0,0.0,9900.0,26730.0,4950.0,21780.0
full_discount,2025,second,34,芹菜,0.3,1800.0,1800.0,0.0,8640.0,360.0,8280.0
full_discount,2025,second,35,大白菜,30.0,150000.0,150000.0,0.0,375000.0,60000.0,315000.0
full_discount,2025,second,36,白萝卜,45.0,180000.0,100000.0,80000.0,350000.0,22500.0,327500.0
full_discount,2025,second,37,红萝卜,34.0,102000.0,36000.0,66000.0,224250.0,17000.0,207250.0
full_discount,2025,second,38,榆黄菇,4.2,21000.0,9000.0,12000.0,862500.0,12600.0,849900.0
full_discount,2025,second,40,白灵菇,1.8,18000.0,18000.0,0.0,288000.0,18000.0,270000.0
full_discount,2025,second,41,羊肚菌,3.6,3600.0,3600.0,0.0,360000.0,36000.0,324000.0
full_discount,2026,single,2,黑豆,193.452632,93225.0,21850.0,71375.0,431531.25,77381.052632,354150.197368
full_discount,2026,single,3,红豆,58.947368,22400.0,22400.0,0.0,184800.0,20631.578947,164168.421053
full_discount,2026,single,4,绿豆,95.266667,33040.0,33040.0,0.0,231280.0,33343.333333,197936.666667
full_discount,2026,single,5,爬豆,26.333333,9875.0,9875.0,0.0,66656.25,9216.666667,57439.583333
full_discount,2026,single,6,小麦,221.411244,170840.0,170840.0,0.0,597940.0,99635.059809,498304.940191
full_discount,2026,single,7,玉米,132.75,132750.0,132750.0,0.0,398250.0,66375.0,331875.0
full_discount,2026,single,8,谷子,195.0,74100.0,71400.0,2700.0,491062.5,70200.0,420862.5
full_discount,2026,single,9,高粱,50.0,30000.0,30000.0,0.0,180000.0,20000.0,160000.0
full_discount,2026,single,10,黍子,26.315789,12500.0,12500.0,0.0,93750.0,9473.684211,84276.315789
full_discount,2026,single,11,荞麦,28.552757,2855.275749,1500.0,1355.275749,87105.514984,9993.465122,77112.049861
full_discount,2026,single,12,南瓜,11.7,35100.0,35100.0,0.0,52650.0,11700.0,40950.0
full_discount,2026,single,13,红薯,16.363636,36000.0,36000.0,0.0,117000.0,32727.272727,84272.727273
full_discount,2026,single,14,莜麦,35.906573,14000.0,14000.0,0.0,77000.0,14362.629061,62637.370939
full_discount,2026,first,17,豇豆,16.4,50640.0,36480.0,14160.0,348480.0,33760.0,314720.0
full_discount,2026,first,18,刀豆,0.6,1440.0,1440.0,0.0,9720.0,720.0,9000.0
full_discount,2026,first,19,芸豆,1.8,6480.0,6480.0,0.0,42120.0,4320.0,37800.0
full_discount,2026,first,22,茄子,3.9,31200.0,31200.0,0.0,171600.0,9360.0,162240.0
full_discount,2026,second,22,茄子,0.3,2160.0,2160.0,0.0,14256.0,792.0,13464.0
full_discount,2026,first,26,包菜,0.9,4050.0,4050.0,0.0,26325.0,3150.0,23175.0
full_discount,2026,first,27,油麦菜,0.9,4500.0,4500.0,0.0,22500.0,1800.0,20700.0
full_discount,2026,first,29,黄瓜,95.0,1140000.0,9000.0,1131000.0,4021500.0,275500.0,3746000.0
full_discount,2026,second,29,黄瓜,1.8,24300.0,4050.0,20250.0,119070.0,6930.0,112140.0
full_discount,2026,first,30,生菜,0.3,1500.0,1500.0,0.0,7875.0,600.0,7275.0
full_discount,2026,first,32,空心菜,0.9,10800.0,3600.0,7200.0,32400.0,4500.0,27900.0
full_discount,2026,first,33,黄心菜,0.3,1800.0,1800.0,0.0,8100.0,750.0,7350.0
full_discount,2026,second,34,芹菜,0.3,1800.0,1800.0,0.0,8640.0,360.0,8280.0
full_discount,2026,second,35,大白菜,30.0,150000.0,150000.0,0.0,375000.0,60000.0,315000.0
full_discount,2026,second,36,白萝卜,64.0,256000.0,100000.0,156000.0,445000.0,32000.0,413000.0
full_discount,2026,second,37,红萝卜,15.0,45000.0,36000.0,9000.0,131625.0,7500.0,124125.0
full_discount,2026,second,38,榆黄菇,4.2,21000.0,9000.0,12000.0,862500.0,12600.0,849900.0
full_discount,2026,second,40,白灵菇,1.8,18000.0,18000.0,0.0,288000.0,18000.0,270000.0
full_discount,2026,second,41,羊肚菌,3.6,3600.0,3600.0,0.0,360000.0,36000.0,324000.0
full_discount,2027,single,2,黑豆,121.052632,57500.0,21850.0,35650.0,297562.5,48421.052632,249141.447368
full_discount,2027,single,3,红豆,58.947368,22400.0,22400.0,0.0,184800.0,20631.578947,164168.421053
full_discount,2027,single,4,绿豆,95.9,33040.0,33040.0,0.0,231280.0,33565.0,197715.0
full_discount,2027,single,5,爬豆,25.911392,9875.0,9875.0,0.0,66656.25,9068.987342,57587.262658
full_discount,2027,single,6,小麦,219.103349,170840.0,170840.0,0.0,597940.0,98596.507177,499343.492823
full_discount,2027,single,7,玉米,132.75,132750.0,132750.0,0.0,398250.0,66375.0,331875.0
full_discount,2027,single,8,谷子,187.894737,71400.0,71400.0,0.0,481950.0,67642.105263,414307.894737
full_discount,2027,single,9,高粱,50.0,30000.0,30000.0,0.0,180000.0,20000.0,160000.0
full_discount,2027,single,10,黍子,27.0,12825.0,12500.0,325.0,94968.75,9720.0,85248.75
full_discount,2027,single,11,荞麦,111.139385,11429.635436,1500.0,9929.635436,258592.708724,38898.784787,219693.923937
full_discount,2027,single,12,南瓜,11.7,35100.0,35100.0,0.0,52650.0,11700.0,40950.0
