candidate,scenario_id,profit_yuan
lambda_025,0,40925506.060955
lambda_025,1,40784390.382668
lambda_025,2,40914230.100063
lambda_025,3,41031166.246484
lambda_025,4,40788145.652542
lambda_025,5,41083540.576499
lambda_025,6,40761548.249484
lambda_025,7,40507442.152082
lambda_025,8,41023119.642615
lambda_025,9,40995707.650664
lambda_025,10,40898837.164396
lambda_025,11,40875944.026039
lambda_025,12,40576343.437059
lambda_025,13,41088016.291405
lambda_025,14,40909730.920385
lambda_025,15,40768918.32695
lambda_025,16,40586437.363569
lambda_025,17,40687705.886584
lambda_025,18,41291691.649467
lambda_025,19,40866646.079366
lambda_025,20,40931120.427962
lambda_025,21,41159957.490764
lambda_025,22,41023668.133679
lambda_025,23,40655460.75613
lambda_025,24,40681758.369727
lambda_025,25,40792069.823001
lambda_025,26,40884040.333248
lambda_025,27,41085243.543434
lambda_025,28,40649437.236474
lambda_025,29,40719560.173298
lambda_025,30,40604757.866846
lambda_025,31,40442481.088422
lambda_025,32,40687409.885635
lambda_025,33,40609210.089935
lambda_025,34,40877407.426196
lambda_025,35,41191629.724078
lambda_025,36,40578185.535605
lambda_025,37,40794172.658594
lambda_025,38,40936801.109315
lambda_025,39,40679793.086342
lambda_025,40,40654360.25064
lambda_025,41,40816121.645978
lambda_025,42,40549239.090397
lambda_025,43,40922171.729398
lambda_025,44,40956252.587463
lambda_025,45,40661868.661979
lambda_025,46,40842238.584296
lambda_025,47,40808270.261053
lambda_025,48,40940114.507991
lambda_025,49,40903519.413683
lambda_025,50,40798114.190805
lambda_025,51,40882212.663186
lambda_025,52,40824309.429442
lambda_025,53,40896425.603675
lambda_025,54,40939099.136536
lambda_025,55,40520119.652648
lambda_025,56,40635876.390418
lambda_025,57,40760776.27539
lambda_025,58,40461038.198735
lambda_025,59,40615462.315676
lambda_025,60,40865818.820139
lambda_025,61,40986812.270385
lambda_025,62,41041894.735957
lambda_025,63,40955356.186462
lambda_025,64,40841590.673168
lambda_025,65,40744031.560316
lambda_025,66,40985309.775622
lambda_025,67,40480419.79259
lambda_025,68,40929465.1262
lambda_025,69,40814490.069304
lambda_025,70,40554421.853007
lambda_025,71,41063586.582393
lambda_025,72,40590671.497758
lambda_025,73,40945668.573168
lambda_025,74,40898463.995398
lambda_025,75,40817131.04121
lambda_025,76,40449432.827369
lambda_025,77,40742901.865809
lambda_025,78,40717366.267684
lambda_025,79,41272100.511309
lambda_025,80,41033056.097113
lambda_025,81,40937422.519326
lambda_025,82,41185858.52872
lambda_025,83,40982136.447997
lambda_025,84,40776981.03123
lambda_025,85,40767082.475993
lambda_025,86,40672633.753313
lambda_025,87,40978068.026117
lambda_025,88,40677410.908497
lambda_025,89,40798192.044653
lambda_025,90,41028181.688375
lambda_025,91,40804511.202549
lambda_025,92,40660155.419509
lambda_025,93,40707645.80384
lambda_025,94,40788387.251036
lambda_025,95,40560691.539771
lambda_025,96,40866785.834274
lambda_025,97,40699924.389105
lambda_025,98,40772849.255078
lambda_025,99,40828997.639489
