scenario_id,q2_profit_yuan,q3a_profit_yuan,q3b_profit_yuan,q3a_minus_q2,q3b_minus_q2,q3b_minus_q3a
0,40434362.712086,40434362.712086,40434362.712086,0.0,0.0,0.0
1,41029461.555337,41029461.555337,41029461.555337,0.0,0.0,0.0
2,41486096.718578,41486096.718578,41486096.718578,0.0,0.0,0.0
3,41041984.146578,41041984.146578,41041984.146578,0.0,0.0,0.0
4,40850207.564148,40850207.564148,40850207.564148,0.0,0.0,0.0
5,40975198.677833,40975198.677833,40975198.677833,0.0,0.0,0.0
6,40718397.07627,40718397.07627,40718397.07627,0.0,0.0,0.0
7,40939376.529511,40939376.529511,40939376.529511,0.0,0.0,0.0
8,40901574.146377,40901574.146377,40901574.146377,0.0,0.0,0.0
9,40772518.02637,40772518.02637,40772518.02637,0.0,0.0,0.0
10,41161594.577426,41161594.577426,41161594.577426,0.0,0.0,0.0
11,41293129.563719,41293129.563719,41293129.563719,0.0,0.0,0.0
12,40749565.938048,40749565.938048,40749565.938048,0.0,0.0,0.0
13,40966986.14006,40966986.14006,40966986.14006,0.0,0.0,0.0
14,41118161.263669,41118161.263669,41118161.263669,0.0,0.0,0.0
15,41229346.503673,41229346.503673,41229346.503673,0.0,0.0,0.0
16,41013410.485479,41013410.485479,41013410.485479,0.0,0.0,0.0
17,41111592.224975,41111592.224975,41111592.224975,0.0,0.0,0.0
18,40957534.076029,40957534.076029,40957534.076029,0.0,0.0,0.0
19,41010247.366163,41010247.366163,41010247.366163,0.0,0.0,0.0
20,41089379.529944,41089379.529944,41089379.529944,0.0,0.0,0.0
21,40955615.232408,40955615.232408,40955615.232408,0.0,0.0,0.0
22,40806518.843178,40806518.843178,40806518.843178,0.0,0.0,0.0
23,40911938.752895,40911938.752895,40911938.752895,0.0,0.0,0.0
24,41083114.967149,41083114.967149,41083114.967149,0.0,0.0,0.0
25,41136770.598047,41136770.598047,41136770.598047,0.0,0.0,0.0
26,41400608.109982,41400608.109982,41400608.109982,0.0,0.0,0.0
27,41128882.749431,41128882.749431,41128882.749431,0.0,0.0,0.0
28,40842354.714867,40842354.714867,40842354.714867,0.0,0.0,0.0
29,41066899.480428,41066899.480428,41066899.480428,0.0,0.0,0.0
30,40915967.11924,40915967.11924,40915967.11924,0.0,0.0,0.0
31,41139899.551392,41139899.551392,41139899.551392,0.0,0.0,0.0
32,40838784.752695,40838784.752695,40838784.752695,0.0,0.0,0.0
33,41028741.533193,41028741.533193,41028741.533193,0.0,0.0,0.0
34,40911811.278864,40911811.278864,40911811.278864,0.0,0.0,0.0
35,41045373.514896,41045373.514896,41045373.514896,0.0,0.0,0.0
36,40826904.444997,40826904.444997,40826904.444997,0.0,0.0,0.0
37,40774615.496007,40774615.496007,40774615.496007,0.0,0.0,0.0
38,41075491.230656,41075491.230656,41075491.230656,0.0,0.0,0.0
39,40635590.00238,40635590.00238,40635590.00238,0.0,0.0,0.0
40,41236704.875064,41236704.875064,41236704.875064,0.0,0.0,0.0
41,40800440.853396,40800440.853396,40800440.853396,0.0,0.0,0.0
42,41078745.56964,41078745.56964,41078745.56964,0.0,0.0,0.0
43,40667506.017818,40667506.017818,40667506.017818,0.0,0.0,0.0
44,41080989.148352,41080989.148352,41080989.148352,0.0,0.0,0.0
45,40833863.54299,40833863.54299,40833863.54299,0.0,0.0,0.0
46,41159288.9812,41159288.9812,41159288.9812,0.0,0.0,0.0
47,41258018.604767,41258018.604767,41258018.604767,0.0,0.0,0.0
48,40801768.063541,40801768.063541,40801768.063541,0.0,0.0,0.0
49,41075291.341856,41075291.341856,41075291.341856,0.0,0.0,0.0
50,41140617.359082,41140617.359082,41140617.359082,0.0,0.0,0.0
51,40980120.478177,40980120.478177,40980120.478177,0.0,0.0,0.0
52,41100150.248904,41100150.248904,41100150.248904,0.0,0.0,0.0
53,41036511.795715,41036511.795715,41036511.795715,0.0,0.0,0.0
54,41241146.555787,41241146.555787,41241146.555787,0.0,0.0,0.0
55,40954376.510111,40954376.510111,40954376.510111,0.0,0.0,0.0
56,40792855.982478,40792855.982478,40792855.982478,0.0,0.0,0.0
57,41275525.203991,41275525.203991,41275525.203991,0.0,0.0,0.0
58,41105048.747607,41105048.747607,41105048.747607,0.0,0.0,0.0
59,40996307.088873,40996307.088873,40996307.088873,0.0,0.0,0.0
60,41345380.942667,41345380.942667,41345380.942667,0.0,0.0,0.0
61,40745845.095767,40745845.095767,40745845.095767,0.0,0.0,0.0
62,40829695.967919,40829695.967919,40829695.967919,0.0,0.0,0.0
63,41161609.432355,41161609.432355,41161609.432355,0.0,0.0,0.0
64,41197674.11843,41197674.11843,41197674.11843,0.0,0.0,0.0
65,40910307.761417,40910307.761417,40910307.761417,0.0,0.0,0.0
66,41061619.004166,41061619.004166,41061619.004166,0.0,0.0,0.0
67,41199459.848307,41199459.848307,41199459.848307,0.0,0.0,0.0
68,41270530.326489,41270530.326489,41270530.326489,0.0,0.0,0.0
69,41082788.10783,41082788.10783,41082788.10783,0.0,0.0,0.0
70,41444075.633015,41444075.633015,41444075.633015,0.0,0.0,0.0
71,40985446.97291,40985446.97291,40985446.97291,0.0,0.0,0.0
72,40766830.713731,40766830.713731,40766830.713731,0.0,0.0,0.0
73,40897848.288226,40897848.288226,40897848.288226,0.0,0.0,0.0
74,40895288.130944,40895288.130944,40895288.130944,0.0,0.0,0.0
75,41087322.070891,41087322.070891,41087322.070891,0.0,0.0,0.0
76,40894334.454957,40894334.454957,40894334.454957,0.0,0.0,0.0
77,40905637.496183,40905637.496183,40905637.496183,0.0,0.0,0.0
78,41406924.502001,41406924.502001,41406924.502001,0.0,0.0,0.0
79,41102040.508915,41102040.508915,41102040.508915,0.0,0.0,0.0
80,41354774.141578,41354774.141578,41354774.141578,0.0,0.0,0.0
81,41039304.091583,41039304.091583,41039304.091583,0.0,0.0,0.0
82,40666497.602144,40666497.602144,40666497.602144,0.0,0.0,0.0
83,40877152.228294,40877152.228294,40877152.228294,0.0,0.0,0.0
84,41183965.991382,41183965.991382,41183965.991382,0.0,0.0,0.0
85,41366773.374758,41366773.374758,41366773.374758,0.0,0.0,0.0
86,40793434.276022,40793434.276022,40793434.276022,0.0,0.0,0.0
87,41198043.814883,41198043.814883,41198043.814883,0.0,0.0,0.0
88,41258111.392518,41258111.392518,41258111.392518,0.0,0.0,0.0
89,41324973.733871,41324973.733871,41324973.733871,0.0,0.0,0.0
90,40926442.130305,40926442.130305,40926442.130305,0.0,0.0,0.0
91,41594383.89087,41594383.89087,41594383.89087,0.0,0.0,0.0
92,41043994.582002,41043994.582002,41043994.582002,0.0,0.0,0.0
93,40915175.218133,40915175.218133,40915175.218133,0.0,0.0,0.0
94,40881628.817484,40881628.817484,40881628.817484,0.0,0.0,0.0
95,41210920.686605,41210920.686605,41210920.686605,0.0,0.0,0.0
96,41050080.781241,41050080.781241,41050080.781241,0.0,0.0,0.0
97,41114388.373761,41114388.373761,41114388.373761,0.0,0.0,0.0
98,41156006.246615,41156006.246615,41156006.246615,0.0,0.0,0.0
99,40861459.443331,40861459.443331,40861459.443331,0.0,0.0,0.0
100,40630355.16548,40630355.16548,40630355.16548,0.0,0.0,0.0
101,41471791.789355,41471791.789355,41471791.789355,0.0,0.0,0.0
102,41105353.248984,41105353.248984,41105353.248984,0.0,0.0,0.0
103,41093402.3245,41093402.3245,41093402.3245,0.0,0.0,0.0
104,40718482.550753,40718482.550753,40718482.550753,0.0,0.0,0.0
105,40987778.926552,40987778.926552,40987778.926552,0.0,0.0,0.0
106,40790960.230303,40790960.230303,40790960.230303,0.0,0.0,0.0
107,41121564.728645,41121564.728645,41121564.728645,0.0,0.0,0.0
108,41250221.921324,41250221.921324,41250221.921324,0.0,0.0,0.0
109,41091102.252743,41091102.252743,41091102.252743,0.0,0.0,0.0
110,40938582.983416,40938582.983416,40938582.983416,0.0,0.0,0.0
111,40723330.761368,40723330.761368,40723330.761368,0.0,0.0,0.0
112,40557907.672987,40557907.672987,40557907.672987,0.0,0.0,0.0
113,41331463.384889,41331463.384889,41331463.384889,0.0,0.0,0.0
114,41166746.715575,41166746.715575,41166746.715575,0.0,0.0,0.0
115,41394844.344992,41394844.344992,41394844.344992,0.0,0.0,0.0
