crop_id,crop_name,q2_total_mu,q3a_total_mu,q3b_total_mu,q3a_minus_q2_mu,q3b_minus_q2_mu
1,黄豆,1021.537137,1021.537137,1021.537137,0.0,0.0
2,黑豆,318.427397,318.427397,318.427397,0.0,0.0
3,红豆,430.736841,430.736841,430.736841,0.0,0.0
4,绿豆,692.332323,692.332323,692.332323,0.0,0.0
5,爬豆,176.942105,176.942105,176.942105,0.0,0.0
6,小麦,1562.468582,1562.468582,1562.468582,0.0,0.0
7,玉米,950.809092,950.809092,950.809092,0.0,0.0
8,谷子,1294.240191,1294.240191,1294.240191,0.0,0.0
9,高粱,350.0,350.0,350.0,0.0,0.0
10,黍子,182.010524,182.010524,182.010524,0.0,0.0
11,荞麦,105.0,105.0,105.0,0.0,0.0
12,南瓜,81.9,81.9,81.9,0.0,0.0
13,红薯,114.545452,114.545452,114.545452,0.0,0.0
14,莜麦,148.366827,148.366827,148.366827,0.0,0.0
15,大麦,120.894739,120.894739,120.894739,0.0,0.0
16,水稻,181.0,181.0,181.0,0.0,0.0
17,豇豆,88.93,88.93,88.93,0.0,0.0
18,刀豆,169.01,169.01,169.01,0.0,0.0
19,芸豆,18.6,18.6,18.6,0.0,0.0
20,土豆,99.25,99.25,99.25,0.0,0.0
21,西红柿,102.625,102.625,102.625,0.0,0.0
22,茄子,47.4,47.4,47.4,0.0,0.0
23,菠菜,2.1,2.1,2.1,0.0,0.0
24,青椒,6.3,6.3,6.3,0.0,0.0
25,菜花,6.3,6.3,6.3,0.0,0.0
26,包菜,6.3,6.3,6.3,0.0,0.0
27,油麦菜,6.3,6.3,6.3,0.0,0.0
28,小青菜,77.35,77.35,77.35,0.0,0.0
29,黄瓜,6.3,6.3,6.3,0.0,0.0
30,生菜,4.2,4.2,4.2,0.0,0.0
31,辣椒,4.2,4.2,4.2,0.0,0.0
32,空心菜,2.1,2.1,2.1,0.0,0.0
33,黄心菜,2.1,2.1,2.1,0.0,0.0
34,芹菜,2.1,2.1,2.1,0.0,0.0
35,大白菜,210.0,210.0,210.0,0.0,0.0
36,白萝卜,175.0,175.0,175.0,0.0,0.0
37,红萝卜,84.0,84.0,84.0,0.0,0.0
38,榆黄菇,12.6,12.6,12.6,0.0,0.0
39,香菇,12.6,12.6,12.6,0.0,0.0
40,白灵菇,12.6,12.6,12.6,0.0,0.0
41,羊肚菌,29.4,29.4,29.4,0.0,0.0
