scenario_set,parameter,year,minimum,p05,mean,p95,maximum
q3_weak_optimization_100,demand,2024,769.79303191,887.07986641,27297.11812555,143107.2185471,187827.78249521
q3_weak_optimization_100,demand,2025,769.61964936,890.91093565,27829.05680923,150037.68930401,205835.40287964
q3_weak_optimization_100,demand,2026,769.65769198,879.82956963,28381.27855358,151730.53335083,222132.30370954
q3_weak_optimization_100,demand,2027,770.01324838,886.80954953,28989.19449814,152342.38844585,244063.6217914
q3_weak_optimization_100,demand,2028,769.50513037,886.74847925,29631.87277083,151989.80038567,266177.66257798
q3_weak_optimization_100,demand,2029,770.01732536,889.43830675,30349.7488136,152214.7283672,285195.82032755
q3_weak_optimization_100,demand,2030,770.24210137,881.54749609,31109.74334833,152488.9926996,305978.86220461
q3_weak_optimization_100,yield,2024,90.00464633,344.28137052,3302.59754394,10986.36265752,16474.63038734
q3_weak_optimization_100,yield,2025,90.16159313,344.81016969,3294.04523,10932.26329399,16495.6504555
q3_weak_optimization_100,yield,2026,90.27827685,344.18000007,3307.73967233,10950.76002361,16494.10762712
q3_weak_optimization_100,yield,2027,90.58466515,344.52786108,3313.03217114,11060.39532452,16476.98731479
q3_weak_optimization_100,yield,2028,90.37282232,346.03746873,3315.57801669,11022.42012225,16482.46277851
q3_weak_optimization_100,yield,2029,90.39940352,344.89056952,3304.83294082,11123.94005655,16444.04426379
q3_weak_optimization_100,yield,2030,90.03484958,343.28355726,3298.632826,11022.54575641,16493.42414775
q3_weak_optimization_100,cost,2024,364.11761032,367.08663251,1882.09131301,4061.75315454,10595.44587616
q3_weak_optimization_100,cost,2025,379.8289793,385.26442125,1976.34206445,4272.16345412,11161.51320484
q3_weak_optimization_100,cost,2026,396.37565755,404.34181227,2074.959235,4489.08323461,11802.54850107
q3_weak_optimization_100,cost,2027,414.87281604,424.65102857,2179.11719045,4719.09535698,12456.41464304
q3_weak_optimization_100,cost,2028,434.00069668,445.562897,2287.5237111,4959.1520129,13041.71471392
q3_weak_optimization_100,cost,2029,453.73995706,467.71340028,2401.86704065,5221.8732222,13758.17740794
q3_weak_optimization_100,cost,2030,474.57119297,490.99020627,2522.14749021,5484.80547234,14424.47936122
q3_weak_optimization_100,price,2024,1.48557633,2.64407973,9.35493557,39.65986945,95.0
q3_weak_optimization_100,price,2025,1.48552656,2.78470414,9.43947446,39.64410488,90.25
q3_weak_optimization_100,price,2026,1.48525626,2.93059136,9.53623129,39.63633456,85.7375
q3_weak_optimization_100,price,2027,1.48515202,3.03723011,9.65383576,39.65468917,81.450625
q3_weak_optimization_100,price,2028,1.48514034,3.18418173,9.78576332,39.63309833,77.37809375
q3_weak_optimization_100,price,2029,1.48517787,3.25275402,9.93677425,39.62867881,73.50918906
q3_weak_optimization_100,price,2030,1.48508169,3.24649206,10.10027746,39.62602966,69.83372961
q3_weak_test_2000,demand,2024,769.50250813,885.83545686,27309.02958013,143369.42030565,187921.73097577
q3_weak_test_2000,demand,2025,769.52321308,888.34938811,27825.49246821,150141.09569568,206587.76285426
q3_weak_test_2000,demand,2026,769.5206478,886.778338,28383.29940254,152488.55112528,226045.5109969
q3_weak_test_2000,demand,2027,769.50556082,886.82496632,28982.22378166,152295.9478147,246122.03272025
q3_weak_test_2000,demand,2028,769.54132799,886.40526009,29634.85128446,152304.98011246,270062.93313677
q3_weak_test_2000,demand,2029,769.52078753,886.14942702,30321.60568842,152016.66858546,293093.40246616
q3_weak_test_2000,demand,2030,769.50312321,886.43633857,31077.97832287,152140.53229864,320222.17593514
q3_weak_test_2000,yield,2024,90.007874,344.81672868,3308.04036995,11013.14648146,16497.47004868
q3_weak_test_2000,yield,2025,90.02555083,344.91401109,3306.45150063,10999.88160878,16495.18622707
q3_weak_test_2000,yield,2026,90.00178308,344.85985914,3306.71982879,10993.10587134,16499.93625528
q3_weak_test_2000,yield,2027,90.00763891,344.80401269,3308.26579178,11003.6233093,16498.87332406
q3_weak_test_2000,yield,2028,90.00576413,344.90878732,3305.72176336,10984.80311381,16499.03347622
q3_weak_test_2000,yield,2029,90.02177984,344.82975259,3307.61788179,11022.15093906,16497.88881081
q3_weak_test_2000,yield,2030,90.00512375,345.23259171,3309.61438156,11016.70138643,16497.32730628
q3_weak_test_2000,cost,2024,364.03679573,367.1934434,1882.49287201,4062.05645581,10597.15770339
q3_weak_test_2000,cost,2025,379.39800829,385.43577264,1976.70491725,4272.79449429,11202.19211004
q3_weak_test_2000,cost,2026,395.97541966,404.58168284,2075.54085056,4492.133794,11848.68303336
q3_weak_test_2000,cost,2027,413.57062565,424.73064991,2179.34857671,4722.90894682,12457.73148022
q3_weak_test_2000,cost,2028,432.96956037,445.90989218,2288.33092841,4964.34553796,13130.12577368
q3_weak_test_2000,cost,2029,452.80995884,468.11036852,2402.79985427,5217.37712098,13806.21713792
q3_weak_test_2000,cost,2030,473.61454598,491.45682841,2523.01154448,5483.0645021,14538.97490483
q3_weak_test_2000,price,2024,1.48500593,2.64445133,9.35775189,39.63294179,95.0
q3_weak_test_2000,price,2025,1.48500844,2.78504731,9.44108386,39.64763061,90.25
q3_weak_test_2000,price,2026,1.48500552,2.93240257,9.54029154,39.64094648,85.7375
q3_weak_test_2000,price,2027,1.48505349,3.03641133,9.6552658,39.63904184,81.450625
q3_weak_test_2000,price,2028,1.48501279,3.18886267,9.78716537,39.63864449,77.37809375
q3_weak_test_2000,price,2029,1.48500241,3.24781696,9.9350335,39.63382455,73.50918906
q3_weak_test_2000,price,2030,1.4850081,3.24854733,10.10090881,39.63774052,69.83372961
q3_weak_elasticity_optimization_100,demand,2024,784.88273114,926.58430858,27690.70676398,143465.56732658,189495.82178273
q3_weak_elasticity_optimization_100,demand,2025,796.00447822,974.90827351,28647.43336846,154300.27624381,209063.07814505
