candidate,scenario_id,profit_yuan
q3a,0,41110845.595156
q3a,1,41446924.709434
q3a,2,40538294.278383
q3a,3,40797626.102391
q3a,4,40870573.390696
q3a,5,40983609.573926
q3a,6,40876182.072602
q3a,7,40946029.075487
q3a,8,41042291.407907
q3a,9,40809075.458257
q3a,10,40603609.745783
q3a,11,40676818.609797
q3a,12,40824617.591607
q3a,13,40771929.705197
q3a,14,41022995.803108
q3a,15,40892694.542019
q3a,16,40891021.894071
q3a,17,40933738.921258
q3a,18,40920551.074596
q3a,19,40671410.924546
q3a,20,40644482.403185
q3a,21,40852196.314749
q3a,22,40875609.399221
q3a,23,41140658.813982
q3a,24,40883634.01058
q3a,25,40880178.03269
q3a,26,40928655.788411
q3a,27,40717437.088266
q3a,28,40767669.733056
q3a,29,40881400.659439
q3a,30,40567214.963071
q3a,31,40428059.606089
q3a,32,41015247.217189
q3a,33,40902609.118493
q3a,34,40705959.910272
q3a,35,40937734.565846
q3a,36,40688450.378966
q3a,37,41193427.012528
q3a,38,40874314.831079
q3a,39,40787139.659603
q3a,40,41158131.966613
q3a,41,40723974.736203
q3a,42,40949163.326642
q3a,43,40845868.195293
q3a,44,40901314.63244
q3a,45,40834135.063669
q3a,46,40643574.27971
q3a,47,40705700.733661
q3a,48,40936770.849778
q3a,49,41099249.536587
q3a,50,40730552.735737
q3a,51,40927227.182134
q3a,52,41063212.685488
q3a,53,40820214.409663
q3a,54,40960335.294777
q3a,55,40793830.17728
q3a,56,40629157.871648
q3a,57,40525231.50423
q3a,58,40704438.979691
q3a,59,40750080.743921
q3a,60,41031647.457412
q3a,61,41124677.640291
q3a,62,40861440.379962
q3a,63,40691193.799395
q3a,64,41252681.839447
q3a,65,40848015.631746
q3a,66,40805012.806839
q3a,67,41106211.272528
q3a,68,40934443.323402
q3a,69,40540954.782471
q3a,70,40492497.126689
q3a,71,41192585.1092
q3a,72,40932064.034685
q3a,73,40919493.851736
q3a,74,41041165.279893
q3a,75,40778155.817268
q3a,76,41288035.159509
q3a,77,40764616.471955
q3a,78,40616594.522786
q3a,79,40919195.411634
q3a,80,40946116.347005
q3a,81,40664102.326787
q3a,82,40683341.463561
q3a,83,40731878.592454
q3a,84,40611167.642661
q3a,85,40815041.630164
q3a,86,40945615.349153
q3a,87,40591635.648889
q3a,88,41165765.011798
q3a,89,40341247.608015
q3a,90,41102634.312943
q3a,91,40634183.614914
q3a,92,40911914.54665
q3a,93,41148827.87231
q3a,94,40862616.161128
q3a,95,40901820.153506
q3a,96,40959740.447392
q3a,97,40858776.233738
q3a,98,40922811.642459
q3a,99,41078696.876941
