candidate,scenario_id,profit_yuan
q3b,0,41308425.862624
q3b,1,41594276.276583
q3b,2,40635099.631733
q3b,3,41160508.174307
q3b,4,41042225.919838
q3b,5,41157210.387985
q3b,6,40923756.909157
q3b,7,41085810.006145
q3b,8,41120348.956672
q3b,9,41052290.270947
q3b,10,40800994.583326
q3b,11,40735385.155058
q3b,12,41081079.605949
q3b,13,40761169.605388
q3b,14,41199811.938484
q3b,15,41050483.393076
q3b,16,41134696.309602
q3b,17,41162033.511513
q3b,18,41153296.519435
q3b,19,40807871.708242
q3b,20,40743236.009559
q3b,21,40900654.139531
q3b,22,41047362.809921
q3b,23,41390403.550582
q3b,24,41062969.244703
q3b,25,40955557.886825
q3b,26,41165234.863648
q3b,27,40867062.029106
q3b,28,41048578.479711
q3b,29,41024785.479236
q3b,30,40724779.721427
q3b,31,40729163.553455
q3b,32,41180460.50645
q3b,33,40922907.835918
q3b,34,40983778.128484
q3b,35,41227149.648035
q3b,36,40917302.878775
q3b,37,41334246.113486
q3b,38,41000001.488635
q3b,39,41023095.912367
q3b,40,41313399.512334
q3b,41,41025280.396008
q3b,42,41112995.175348
q3b,43,40874599.19796
q3b,44,40954480.475161
q3b,45,40947943.698915
q3b,46,40815040.788851
q3b,47,40914364.253847
q3b,48,41284341.856497
q3b,49,41367078.148937
q3b,50,40809952.184821
q3b,51,41106905.606801
q3b,52,41147581.057149
q3b,53,40921257.017917
q3b,54,41021700.989896
q3b,55,41158716.30793
q3b,56,40722511.775693
q3b,57,40723176.026611
q3b,58,40865043.917643
q3b,59,40928010.741584
q3b,60,41274269.805932
q3b,61,41538539.967196
q3b,62,41043340.694452
q3b,63,40853018.143779
q3b,64,41468685.043462
q3b,65,41091542.33484
q3b,66,41051868.729692
q3b,67,41180518.753713
q3b,68,41078457.049893
q3b,69,40745965.229719
q3b,70,40659077.288726
q3b,71,41454056.147948
q3b,72,41145284.306093
q3b,73,41193173.989152
q3b,74,41083927.370325
q3b,75,41119753.871531
q3b,76,41431854.412513
q3b,77,40970289.820077
q3b,78,40904769.744149
q3b,79,41276315.988121
q3b,80,41062587.34289
q3b,81,40879156.682809
q3b,82,40681288.810199
q3b,83,40896619.42828
q3b,84,40811646.082801
q3b,85,40902924.961282
q3b,86,41139375.176847
q3b,87,40705304.076744
q3b,88,41460862.289273
q3b,89,40487321.281148
q3b,90,41370095.31923
q3b,91,40628348.261544
q3b,92,41098626.988048
q3b,93,41262251.890071
q3b,94,41036461.353858
q3b,95,41153629.799213
q3b,96,41022056.969058
q3b,97,40943868.179668
q3b,98,41005628.365111
q3b,99,41189323.796063
