crop_id,crop_name,land_type,season,yield_jin_per_mu,cost_yuan_per_mu,price_low,price_high,price_mid,parameter_source,source_row
1,黄豆,平旱地,single,400,400,2.5,4,3.25,observed_2023,2
1,黄豆,山坡地,single,360,400,2.5,4,3.25,observed_2023,32
1,黄豆,梯田,single,380,400,2.5,4,3.25,observed_2023,17
2,黑豆,平旱地,single,500,400,6.5,8.5,7.5,observed_2023,3
2,黑豆,山坡地,single,450,400,6.5,8.5,7.5,observed_2023,33
2,黑豆,梯田,single,475,400,6.5,8.5,7.5,observed_2023,18
3,红豆,平旱地,single,400,350,7.5,9,8.25,observed_2023,4
3,红豆,山坡地,single,360,350,7.5,9,8.25,observed_2023,34
3,红豆,梯田,single,380,350,7.5,9,8.25,observed_2023,19
4,绿豆,平旱地,single,350,350,6,8,7,observed_2023,5
4,绿豆,山坡地,single,315,350,6,8,7,observed_2023,35
4,绿豆,梯田,single,330,350,6,8,7,observed_2023,20
5,爬豆,平旱地,single,415,350,6,7.5,6.75,observed_2023,6
5,爬豆,山坡地,single,375,350,6,7.5,6.75,observed_2023,36
5,爬豆,梯田,single,395,350,6,7.5,6.75,observed_2023,21
6,小麦,平旱地,single,800,450,3,4,3.5,observed_2023,7
6,小麦,山坡地,single,720,450,3,4,3.5,observed_2023,37
6,小麦,梯田,single,760,450,3,4,3.5,observed_2023,22
7,玉米,平旱地,single,1000,500,2.5,3.5,3,observed_2023,8
7,玉米,山坡地,single,900,500,2.5,3.5,3,observed_2023,38
7,玉米,梯田,single,950,500,2.5,3.5,3,observed_2023,23
8,谷子,平旱地,single,400,360,6,7.5,6.75,observed_2023,9
8,谷子,山坡地,single,360,360,6,7.5,6.75,observed_2023,39
8,谷子,梯田,single,380,360,6,7.5,6.75,observed_2023,24
9,高粱,平旱地,single,630,400,5.5,6.5,6,observed_2023,10
9,高粱,山坡地,single,570,400,5.5,6.5,6,observed_2023,40
9,高粱,梯田,single,600,400,5.5,6.5,6,observed_2023,25
10,黍子,平旱地,single,525,360,6.5,8.5,7.5,observed_2023,11
10,黍子,山坡地,single,475,360,6.5,8.5,7.5,observed_2023,41
10,黍子,梯田,single,500,360,6.5,8.5,7.5,observed_2023,26
11,荞麦,平旱地,single,110,350,30,50,40,observed_2023,12
11,荞麦,山坡地,single,100,350,30,50,40,observed_2023,42
11,荞麦,梯田,single,105,350,30,50,40,observed_2023,27
12,南瓜,平旱地,single,3000,1000,1,2,1.5,observed_2023,13
12,南瓜,山坡地,single,2700,1000,1,2,1.5,observed_2023,43
12,南瓜,梯田,single,2850,1000,1,2,1.5,observed_2023,28
13,红薯,平旱地,single,2200,2000,2.5,4,3.25,observed_2023,14
13,红薯,山坡地,single,2000,2000,2.5,4,3.25,observed_2023,44
13,红薯,梯田,single,2100,2000,2.5,4,3.25,observed_2023,29
14,莜麦,平旱地,single,420,400,5,6,5.5,observed_2023,15
14,莜麦,山坡地,single,380,400,5,6,5.5,observed_2023,45
14,莜麦,梯田,single,400,400,5,6,5.5,observed_2023,30
15,大麦,平旱地,single,525,350,3,4,3.5,observed_2023,16
15,大麦,山坡地,single,475,350,3,4,3.5,observed_2023,46
15,大麦,梯田,single,500,350,3,4,3.5,observed_2023,31
16,水稻,水浇地,single,500,680,6,8,7,observed_2023,47
17,豇豆,普通大棚,first,3600,2400,7,9,8,observed_2023,66
17,豇豆,水浇地,first,3000,2000,7,9,8,observed_2023,48
17,豇豆,智慧大棚,first,3600,2400,7,9,8,fallback_ordinary_greenhouse_first_season,66
17,豇豆,智慧大棚,second,3200,2640,8.4,10.8,9.600000000000001,observed_2023,91
18,刀豆,普通大棚,first,2400,1200,5.5,8,6.75,observed_2023,67
18,刀豆,水浇地,first,2000,1000,5.5,8,6.75,observed_2023,49
18,刀豆,智慧大棚,first,2400,1200,5.5,8,6.75,fallback_ordinary_greenhouse_first_season,67
18,刀豆,智慧大棚,second,2200,1320,6.6,9.6,8.1,observed_2023,92
19,芸豆,普通大棚,first,3600,2400,5,8,6.5,observed_2023,68
19,芸豆,水浇地,first,3000,2000,5,8,6.5,observed_2023,50
19,芸豆,智慧大棚,first,3600,2400,5,8,6.5,fallback_ordinary_greenhouse_first_season,68
19,芸豆,智慧大棚,second,3200,2640,6,9.6,7.8,observed_2023,93
20,土豆,普通大棚,first,2400,2400,3,4.5,3.75,observed_2023,69
20,土豆,水浇地,first,2000,2000,3,4.5,3.75,observed_2023,51
20,土豆,智慧大棚,first,2400,2400,3,4.5,3.75,fallback_ordinary_greenhouse_first_season,69
20,土豆,智慧大棚,second,2200,2640,3.6,5.4,4.5,observed_2023,94
21,西红柿,普通大棚,first,3000,2400,5,7.5,6.25,observed_2023,70
21,西红柿,水浇地,first,2400,2000,5,7.5,6.25,observed_2023,52
21,西红柿,智慧大棚,first,3000,2400,5,7.5,6.25,fallback_ordinary_greenhouse_first_season,70
21,西红柿,智慧大棚,second,2700,2640,6,9,7.5,observed_2023,95
22,茄子,普通大棚,first,8000,2400,5,6,5.5,observed_2023,71
22,茄子,水浇地,first,6400,2000,5,6,5.5,observed_2023,53
22,茄子,智慧大棚,first,8000,2400,5,6,5.5,fallback_ordinary_greenhouse_first_season,71
22,茄子,智慧大棚,second,7200,2640,6,7.2,6.6,observed_2023,96
23,菠菜,普通大棚,first,3300,2700,4.8,6.7,5.75,observed_2023,72
23,菠菜,水浇地,first,2700,2300,4.8,6.7,5.75,observed_2023,54
23,菠菜,智慧大棚,first,3300,2700,4.8,6.7,5.75,fallback_ordinary_greenhouse_first_season,72
23,菠菜,智慧大棚,second,3000,3000,5.8,8,6.9,observed_2023,97
24,青椒,普通大棚,first,3000,2000,4,6.5,5.25,observed_2023,73
24,青椒,水浇地,first,2400,1600,4,6.5,5.25,observed_2023,55
24,青椒,智慧大棚,first,3000,2000,4,6.5,5.25,fallback_ordinary_greenhouse_first_season,73
24,青椒,智慧大棚,second,2700,2200,5.8,7.8,6.8,observed_2023,98
25,菜花,普通大棚,first,4000,3000,5,6,5.5,observed_2023,74
25,菜花,水浇地,first,3300,2400,5,6,5.5,observed_2023,56
25,菜花,智慧大棚,first,4000,3000,5,6,5.5,fallback_ordinary_greenhouse_first_season,74
25,菜花,智慧大棚,second,3600,3300,6,7.2,6.6,observed_2023,99
26,包菜,普通大棚,first,4500,3500,5.5,7.5,6.5,observed_2023,75
26,包菜,水浇地,first,3700,2900,5.5,7.5,6.5,observed_2023,57
26,包菜,智慧大棚,first,4500,3500,5.5,7.5,6.5,fallback_ordinary_greenhouse_first_season,75
26,包菜,智慧大棚,second,4100,3850,6.6,9,7.8,observed_2023,100
27,油麦菜,普通大棚,first,5000,2000,4,6,5,observed_2023,76
27,油麦菜,水浇地,first,4100,1600,4,6,5,observed_2023,58
27,油麦菜,智慧大棚,first,5000,2000,4,6,5,fallback_ordinary_greenhouse_first_season,76
27,油麦菜,智慧大棚,second,4500,2200,4.8,7.2,6,observed_2023,101
28,小青菜,普通大棚,first,4000,2000,5,6.5,5.75,observed_2023,77
28,小青菜,水浇地,first,3200,1600,5,6.5,5.75,observed_2023,59
28,小青菜,智慧大棚,first,4000,2000,5,6.5,5.75,fallback_ordinary_greenhouse_first_season,77
28,小青菜,智慧大棚,second,3600,2200,6,7.8,6.9,observed_2023,102
29,黄瓜,普通大棚,first,15000,3500,6,8,7,observed_2023,78
29,黄瓜,水浇地,first,12000,2900,6,8,7,observed_2023,60
29,黄瓜,智慧大棚,first,15000,3500,6,8,7,fallback_ordinary_greenhouse_first_season,78
29,黄瓜,智慧大棚,second,13500,3850,7.2,9.6,8.4,observed_2023,103
30,生菜,普通大棚,first,5000,2000,4.5,6,5.25,observed_2023,79
30,生菜,水浇地,first,4100,1600,4.5,6,5.25,observed_2023,61
30,生菜,智慧大棚,first,5000,2000,4.5,6,5.25,fallback_ordinary_greenhouse_first_season,79
30,生菜,智慧大棚,second,4500,2200,5.4,7.2,6.300000000000001,observed_2023,104
31,辣椒,普通大棚,first,2000,1200,6,8.5,7.25,observed_2023,80
31,辣椒,水浇地,first,1600,1000,6,8.5,7.25,observed_2023,62
31,辣椒,智慧大棚,first,2000,1200,6,8.5,7.25,fallback_ordinary_greenhouse_first_season,80
31,辣椒,智慧大棚,second,1800,1300,7.2,10.2,8.7,observed_2023,105
32,空心菜,普通大棚,first,12000,5000,3,6,4.5,observed_2023,81
32,空心菜,水浇地,first,10000,4100,3,6,4.5,observed_2023,63
32,空心菜,智慧大棚,first,12000,5000,3,6,4.5,fallback_ordinary_greenhouse_first_season,81
32,空心菜,智慧大棚,second,11000,5500,3.6,7.2,5.4,observed_2023,106
33,黄心菜,普通大棚,first,6000,2500,4,5,4.5,observed_2023,82
33,黄心菜,水浇地,first,5000,2000,4,5,4.5,observed_2023,64
33,黄心菜,智慧大棚,first,6000,2500,4,5,4.5,fallback_ordinary_greenhouse_first_season,82
33,黄心菜,智慧大棚,second,5400,2750,4.8,6,5.4,observed_2023,107
34,芹菜,普通大棚,first,6600,1100,3.2,4.8,4,observed_2023,83
34,芹菜,水浇地,first,5500,900,3.2,4.8,4,observed_2023,65
34,芹菜,智慧大棚,first,6600,1100,3.2,4.8,4,fallback_ordinary_greenhouse_first_season,83
34,芹菜,智慧大棚,second,6000,1200,3.8,5.8,4.8,observed_2023,108
35,大白菜,水浇地,second,5000,2000,2,3,2.5,observed_2023,84
36,白萝卜,水浇地,second,4000,500,2,3,2.5,observed_2023,85
37,红萝卜,水浇地,second,3000,500,2.5,4,3.25,observed_2023,86
38,榆黄菇,普通大棚,second,5000,3000,50,65,57.5,observed_2023,87
39,香菇,普通大棚,second,4000,2000,18,20,19,observed_2023,88
40,白灵菇,普通大棚,second,10000,10000,14,18,16,observed_2023,89
41,羊肚菌,普通大棚,second,1000,10000,80,120,100,observed_2023,90
