crop_id,crop_name,crop_type,crop_category,is_legume,planting_rule_text,source_row
1,黄豆,粮食（豆类）,grain,1,平旱地 梯田 山坡地,2
2,黑豆,粮食（豆类）,grain,1,平旱地 梯田 山坡地,3
3,红豆,粮食（豆类）,grain,1,平旱地 梯田 山坡地,4
4,绿豆,粮食（豆类）,grain,1,平旱地 梯田 山坡地,5
5,爬豆,粮食（豆类）,grain,1,平旱地 梯田 山坡地,6
6,小麦,粮食,grain,0,平旱地 梯田 山坡地,7
7,玉米,粮食,grain,0,平旱地 梯田 山坡地,8
8,谷子,粮食,grain,0,平旱地 梯田 山坡地,9
9,高粱,粮食,grain,0,平旱地 梯田 山坡地,10
10,黍子,粮食,grain,0,平旱地 梯田 山坡地,11
11,荞麦,粮食,grain,0,平旱地 梯田 山坡地,12
12,南瓜,粮食,grain,0,平旱地 梯田 山坡地,13
13,红薯,粮食,grain,0,平旱地 梯田 山坡地,14
14,莜麦,粮食,grain,0,平旱地 梯田 山坡地,15
15,大麦,粮食,grain,0,平旱地 梯田 山坡地,16
16,水稻,粮食,grain,0,水浇地,17
17,豇豆,蔬菜（豆类）,vegetable,1,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,18
18,刀豆,蔬菜（豆类）,vegetable,1,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,19
19,芸豆,蔬菜（豆类）,vegetable,1,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,20
20,土豆,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,21
21,西红柿,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,22
22,茄子,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,23
23,菠菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,24
24,青椒,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,25
25,菜花,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,26
26,包菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,27
27,油麦菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,28
28,小青菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,29
29,黄瓜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,30
30,生菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,31
31,辣椒,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,32
32,空心菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,33
33,黄心菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,34
34,芹菜,蔬菜,vegetable,0,水浇地 第一季 普通大棚 第一季 智慧大棚 第一季、第二季,35
35,大白菜,蔬菜,vegetable,0,水浇地 第二季,36
36,白萝卜,蔬菜,vegetable,0,水浇地 第二季,37
37,红萝卜,蔬菜,vegetable,0,水浇地 第二季,38
38,榆黄菇,食用菌,fungus,0,普通大棚 第二季,39
39,香菇,食用菌,fungus,0,普通大棚 第二季,40
40,白灵菇,食用菌,fungus,0,普通大棚 第二季,41
41,羊肚菌,食用菌,fungus,0,普通大棚 第二季,42
