crop_id,crop_name,season,expected_sales_jin,source_record_count
1,黄豆,single,57000,3
2,黑豆,single,21850,1
3,红豆,single,22400,2
4,绿豆,single,33040,2
5,爬豆,single,9875,1
6,小麦,single,170840,4
7,玉米,single,132750,3
8,谷子,single,71400,3
9,高粱,single,30000,1
10,黍子,single,12500,1
11,荞麦,single,1500,1
12,南瓜,single,35100,1
13,红薯,single,36000,1
14,莜麦,single,14000,1
15,大麦,single,10000,1
16,水稻,single,21000,2
17,豇豆,first,36480,4
18,刀豆,first,26880,3
19,芸豆,first,6480,3
20,土豆,first,30000,1
21,西红柿,first,35400,2
21,西红柿,second,810,1
22,茄子,first,43200,2
22,茄子,second,2160,1
23,菠菜,second,900,1
24,青椒,first,1800,1
24,青椒,second,810,1
25,菜花,first,3600,2
26,包菜,first,4050,2
27,油麦菜,first,4500,2
28,小青菜,first,34400,2
28,小青菜,second,1080,1
29,黄瓜,first,9000,1
29,黄瓜,second,4050,1
30,生菜,first,1500,1
30,生菜,second,1350,1
31,辣椒,first,1200,1
32,空心菜,first,3600,1
33,黄心菜,first,1800,1
34,芹菜,second,1800,1
35,大白菜,second,150000,3
36,白萝卜,second,100000,2
37,红萝卜,second,36000,1
38,榆黄菇,second,9000,3
39,香菇,second,7200,3
40,白灵菇,second,18000,3
41,羊肚菌,second,4200,7
