plot_id,land_type,season,crop_id,crop_name,eligible,rule_source
A1,平旱地,single,1,黄豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,2,黑豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,3,红豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,4,绿豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,5,爬豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,6,小麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,7,玉米,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,8,谷子,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,9,高粱,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,10,黍子,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,11,荞麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,12,南瓜,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,13,红薯,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,14,莜麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,15,大麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,16,水稻,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,17,豇豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,18,刀豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,19,芸豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,20,土豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,21,西红柿,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,22,茄子,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,23,菠菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,24,青椒,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,25,菜花,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,26,包菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,27,油麦菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,28,小青菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,29,黄瓜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,30,生菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,31,辣椒,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,32,空心菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,33,黄心菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,34,芹菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,35,大白菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,36,白萝卜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,37,红萝卜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,38,榆黄菇,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,39,香菇,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,40,白灵菇,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A1,平旱地,single,41,羊肚菌,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,1,黄豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,2,黑豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,3,红豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,4,绿豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,5,爬豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,6,小麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,7,玉米,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,8,谷子,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,9,高粱,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,10,黍子,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,11,荞麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,12,南瓜,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,13,红薯,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,14,莜麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,15,大麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,16,水稻,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,17,豇豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,18,刀豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,19,芸豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,20,土豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,21,西红柿,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,22,茄子,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,23,菠菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,24,青椒,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,25,菜花,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,26,包菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,27,油麦菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,28,小青菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,29,黄瓜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,30,生菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,31,辣椒,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,32,空心菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,33,黄心菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,34,芹菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,35,大白菜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,36,白萝卜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,37,红萝卜,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,38,榆黄菇,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,39,香菇,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,40,白灵菇,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A2,平旱地,single,41,羊肚菌,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,1,黄豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,2,黑豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,3,红豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,4,绿豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,5,爬豆,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,6,小麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,7,玉米,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,8,谷子,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,9,高粱,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,10,黍子,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,11,荞麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,12,南瓜,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,13,红薯,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,14,莜麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,15,大麦,1,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,16,水稻,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,17,豇豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
A3,平旱地,single,18,刀豆,0,附件1规则：露天非水浇地单季粮食（不含水稻）
