plot_id,crop_id,crop_name,crop_type,area_mu,season,source_row
A1,6,小麦,粮食,80,single,2
A2,7,玉米,粮食,55,single,3
A3,7,玉米,粮食,35,single,4
A4,1,黄豆,粮食（豆类）,72,single,5
A5,4,绿豆,粮食（豆类）,68,single,6
A6,8,谷子,粮食,55,single,7
B1,6,小麦,粮食,60,single,8
B2,2,黑豆,粮食（豆类）,46,single,9
B3,3,红豆,粮食（豆类）,40,single,10
B4,4,绿豆,粮食（豆类）,28,single,11
B5,5,爬豆,粮食（豆类）,25,single,12
B6,8,谷子,粮食,86,single,13
B7,6,小麦,粮食,55,single,14
B8,8,谷子,粮食,44,single,15
B9,9,高粱,粮食,50,single,16
B10,10,黍子,粮食,25,single,17
B11,1,黄豆,粮食（豆类）,60,single,18
B12,7,玉米,粮食,45,single,19
B13,14,莜麦,粮食,35,single,20
B14,15,大麦,粮食,20,single,21
C1,11,荞麦,粮食,15,single,22
C2,12,南瓜,粮食,13,single,23
C3,1,黄豆,粮食（豆类）,15,single,24
C4,13,红薯,粮食,18,single,25
C5,6,小麦,粮食,27,single,26
C6,3,红豆,粮食（豆类）,20,single,27
D1,20,土豆,蔬菜,15,first,28
D1,36,白萝卜,蔬菜,15,second,29
D2,28,小青菜,蔬菜,10,first,30
D2,35,大白菜,蔬菜,10,second,31
D3,21,西红柿,蔬菜,14,first,32
D3,35,大白菜,蔬菜,14,second,33
D4,22,茄子,蔬菜,6,first,34
D4,35,大白菜,蔬菜,6,second,35
D5,17,豇豆,蔬菜（豆类）,10,first,36
D5,36,白萝卜,蔬菜,10,second,37
D6,18,刀豆,蔬菜（豆类）,12,first,38
D6,37,红萝卜,蔬菜,12,second,39
D7,16,水稻,粮食,22,single,40
D8,16,水稻,粮食,20,single,41
E1,18,刀豆,蔬菜（豆类）,0.6,first,42
E1,38,榆黄菇,食用菌,0.6,second,43
E2,24,青椒,蔬菜,0.6,first,44
E2,38,榆黄菇,食用菌,0.6,second,45
E3,25,菜花,蔬菜,0.6,first,46
E3,38,榆黄菇,食用菌,0.6,second,47
E4,26,包菜,蔬菜,0.6,first,48
E4,39,香菇,食用菌,0.6,second,49
E5,28,小青菜,蔬菜,0.6,first,50
E5,39,香菇,食用菌,0.6,second,51
E6,27,油麦菜,蔬菜,0.6,first,52
E6,39,香菇,食用菌,0.6,second,53
E7,19,芸豆,蔬菜（豆类）,0.6,first,54
E7,40,白灵菇,食用菌,0.6,second,55
E8,19,芸豆,蔬菜（豆类）,0.6,first,56
E8,40,白灵菇,食用菌,0.6,second,57
E9,18,刀豆,蔬菜（豆类）,0.6,first,58
E9,40,白灵菇,食用菌,0.6,second,59
E10,17,豇豆,蔬菜（豆类）,0.6,first,60
E10,41,羊肚菌,食用菌,0.6,second,61
E11,17,豇豆,蔬菜（豆类）,0.6,first,62
E11,41,羊肚菌,食用菌,0.6,second,63
E12,22,茄子,蔬菜,0.6,first,64
E12,41,羊肚菌,食用菌,0.6,second,65
E13,21,西红柿,蔬菜,0.6,first,66
E13,41,羊肚菌,食用菌,0.6,second,67
E14,29,黄瓜,蔬菜,0.6,first,68
E14,41,羊肚菌,食用菌,0.6,second,69
E15,30,生菜,蔬菜,0.3,first,70
E15,27,油麦菜,蔬菜,0.3,first,71
E15,41,羊肚菌,食用菌,0.6,second,72
E16,31,辣椒,蔬菜,0.6,first,73
E16,41,羊肚菌,食用菌,0.6,second,74
F1,32,空心菜,蔬菜,0.3,first,75
F1,33,黄心菜,蔬菜,0.3,first,76
F1,24,青椒,蔬菜,0.3,second,77
F1,21,西红柿,蔬菜,0.3,second,78
F2,25,菜花,蔬菜,0.3,first,79
F2,26,包菜,蔬菜,0.3,first,80
F2,22,茄子,蔬菜,0.3,second,81
F2,29,黄瓜,蔬菜,0.3,second,82
F3,17,豇豆,蔬菜（豆类）,0.6,first,83
F3,28,小青菜,蔬菜,0.3,second,84
F3,30,生菜,蔬菜,0.3,second,85
F4,19,芸豆,蔬菜（豆类）,0.6,first,86
F4,34,芹菜,蔬菜,0.3,second,87
F4,23,菠菜,蔬菜,0.3,second,88
