plot_id,land_type,area_mu,source_row
A1,平旱地,80,2
A2,平旱地,55,3
A3,平旱地,35,4
A4,平旱地,72,5
A5,平旱地,68,6
A6,平旱地,55,7
B1,梯田,60,8
B2,梯田,46,9
B3,梯田,40,10
B4,梯田,28,11
B5,梯田,25,12
B6,梯田,86,13
B7,梯田,55,14
B8,梯田,44,15
B9,梯田,50,16
B10,梯田,25,17
B11,梯田,60,18
B12,梯田,45,19
B13,梯田,35,20
B14,梯田,20,21
C1,山坡地,15,22
C2,山坡地,13,23
C3,山坡地,15,24
C4,山坡地,18,25
C5,山坡地,27,26
C6,山坡地,20,27
D1,水浇地,15,28
D2,水浇地,10,29
D3,水浇地,14,30
D4,水浇地,6,31
D5,水浇地,10,32
D6,水浇地,12,33
D7,水浇地,22,34
D8,水浇地,20,35
E1,普通大棚,0.6,36
E2,普通大棚,0.6,37
E3,普通大棚,0.6,38
E4,普通大棚,0.6,39
E5,普通大棚,0.6,40
E6,普通大棚,0.6,41
E7,普通大棚,0.6,42
E8,普通大棚,0.6,43
E9,普通大棚,0.6,44
E10,普通大棚,0.6,45
E11,普通大棚,0.6,46
E12,普通大棚,0.6,47
E13,普通大棚,0.6,48
E14,普通大棚,0.6,49
E15,普通大棚,0.6,50
E16,普通大棚,0.6,51
F1,智慧大棚,0.6,52
F2,智慧大棚,0.6,53
F3,智慧大棚,0.6,54
F4,智慧大棚,0.6,55
