year,season,template_season,plot_id,crop_id,crop_name,sheet,row,column,column_letter,cell
2024,single,first,A1,1,黄豆,2024,2,3,C,C2
2024,single,first,A1,2,黑豆,2024,2,4,D,D2
2024,single,first,A1,3,红豆,2024,2,5,E,E2
2024,single,first,A1,4,绿豆,2024,2,6,F,F2
2024,single,first,A1,5,爬豆,2024,2,7,G,G2
2024,single,first,A1,6,小麦,2024,2,8,H,H2
2024,single,first,A1,7,玉米,2024,2,9,I,I2
2024,single,first,A1,8,谷子,2024,2,10,J,J2
2024,single,first,A1,9,高粱,2024,2,11,K,K2
2024,single,first,A1,10,黍子,2024,2,12,L,L2
2024,single,first,A1,11,荞麦,2024,2,13,M,M2
2024,single,first,A1,12,南瓜,2024,2,14,N,N2
2024,single,first,A1,13,红薯,2024,2,15,O,O2
2024,single,first,A1,14,莜麦,2024,2,16,P,P2
2024,single,first,A1,15,大麦,2024,2,17,Q,Q2
2024,single,first,A1,16,水稻,2024,2,18,R,R2
2024,single,first,A1,17,豇豆,2024,2,19,S,S2
2024,single,first,A1,18,刀豆,2024,2,20,T,T2
2024,single,first,A1,19,芸豆,2024,2,21,U,U2
2024,single,first,A1,20,土豆,2024,2,22,V,V2
2024,single,first,A1,21,西红柿,2024,2,23,W,W2
2024,single,first,A1,22,茄子,2024,2,24,X,X2
2024,single,first,A1,23,菠菜,2024,2,25,Y,Y2
2024,single,first,A1,24,青椒,2024,2,26,Z,Z2
2024,single,first,A1,25,菜花,2024,2,27,AA,AA2
2024,single,first,A1,26,包菜,2024,2,28,AB,AB2
2024,single,first,A1,27,油麦菜,2024,2,29,AC,AC2
2024,single,first,A1,28,小青菜,2024,2,30,AD,AD2
2024,single,first,A1,29,黄瓜,2024,2,31,AE,AE2
2024,single,first,A1,30,生菜,2024,2,32,AF,AF2
2024,single,first,A1,31,辣椒,2024,2,33,AG,AG2
2024,single,first,A1,32,空心菜,2024,2,34,AH,AH2
2024,single,first,A1,33,黄心菜,2024,2,35,AI,AI2
2024,single,first,A1,34,芹菜,2024,2,36,AJ,AJ2
2024,single,first,A1,35,大白菜,2024,2,37,AK,AK2
2024,single,first,A1,36,白萝卜,2024,2,38,AL,AL2
2024,single,first,A1,37,红萝卜,2024,2,39,AM,AM2
2024,single,first,A1,38,榆黄菇,2024,2,40,AN,AN2
2024,single,first,A1,39,香菇,2024,2,41,AO,AO2
2024,single,first,A1,40,白灵菇,2024,2,42,AP,AP2
2024,single,first,A1,41,羊肚菌,2024,2,43,AQ,AQ2
2024,single,first,A2,1,黄豆,2024,3,3,C,C3
2024,single,first,A2,2,黑豆,2024,3,4,D,D3
2024,single,first,A2,3,红豆,2024,3,5,E,E3
2024,single,first,A2,4,绿豆,2024,3,6,F,F3
2024,single,first,A2,5,爬豆,2024,3,7,G,G3
2024,single,first,A2,6,小麦,2024,3,8,H,H3
2024,single,first,A2,7,玉米,2024,3,9,I,I3
